,0,1
0,Equatorial coordinates (degrees),"(311.505,-62.7112)"
1,Time range (MET),"(449790823.951914,449790985.339914)"
2,Time range (Gregorian),"(2015-04-03 21:53:40,2015-04-03 21:56:22)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
