,0,1
0,Equatorial coordinates (degrees),"(119.847,-56.638)"
1,Time range (MET),"(243216736.613542,243216892.597542)"
2,Time range (Gregorian),"(2008-09-16 00:12:15,2008-09-16 00:14:51)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
