,0,1
0,Equatorial coordinates (degrees),"(280.504,-28.5372)"
1,Time range (MET),"(333803341.953984,333803492.441984)"
2,Time range (Gregorian),"(2011-07-31 11:08:59,2011-07-31 11:11:30)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
