,0,1
0,Equatorial coordinates (degrees),"(192.125,8.69306)"
1,Time range (MET),"(292904393.986434,292904544.274434)"
2,Time range (Gregorian),"(2010-04-14 02:19:51,2010-04-14 02:22:22)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
