,0,1
0,Equatorial coordinates (degrees),"(217.311,15.7741)"
1,Time range (MET),"(394416296.078824,394416447.866824)"
2,Time range (Gregorian),"(2013-07-02 00:04:53,2013-07-02 00:07:24)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
