,0,1
0,Equatorial coordinates (degrees),"(90.6654,-41.882)"
1,Time range (MET),"(259925778.511282,259925933.889282)"
2,Time range (Gregorian),"(2009-03-28 09:36:16,2009-03-28 09:38:51)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
