,0,1
0,Equatorial coordinates (degrees),"(333.553,-26.5975)"
1,Time range (MET),"(263607751.97109,263607901.93909)"
2,Time range (Gregorian),"(2009-05-10 00:22:29,2009-05-10 00:24:59)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
