,0,1
0,Equatorial coordinates (degrees),"(251.519,36.6253)"
1,Time range (MET),"(276237317.584656,276237472.994656)"
2,Time range (Gregorian),"(2009-10-03 04:35:15,2009-10-03 04:37:50)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
