,0,1
0,Equatorial coordinates (degrees),"(264.939,27.3245)"
1,Time range (MET),"(273582280.312714,273582440.080714)"
2,Time range (Gregorian),"(2009-09-02 11:04:38,2009-09-02 11:07:18)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
