,0,1
0,Equatorial coordinates (degrees),"(311.754,76.1084)"
1,Time range (MET),"(484477100.219298,484477264.139298)"
2,Time range (Gregorian),"(2016-05-09 08:58:16,2016-05-09 09:01:00)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
