,0,1
0,Equatorial coordinates (degrees),"(355.666,47.4653)"
1,Time range (MET),"(390578050.525406,390578226.379406)"
2,Time range (Gregorian),"(2013-05-18 13:54:07,2013-05-18 13:57:03)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
