,0,1
0,Equatorial coordinates (degrees),"(190.709,17.0533)"
1,Time range (MET),"(259459334.627422,259459500.625422)"
2,Time range (Gregorian),"(2009-03-23 00:02:12,2009-03-23 00:04:58)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
