,0,1
0,Equatorial coordinates (degrees),"(94.6785,-70.9991)"
1,Time range (MET),"(363667466.294306,363667685.932306)"
2,Time range (Gregorian),"(2012-07-11 02:44:23,2012-07-11 02:48:02)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
