,0,1
0,Equatorial coordinates (degrees),"(88.7583,-15.2556)"
1,Time range (MET),"(301976222.610612,301976426.614612)"
2,Time range (Gregorian),"(2010-07-28 02:17:00,2010-07-28 02:20:24)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
