,0,1
0,Equatorial coordinates (degrees),"(126.67,63.8343)"
1,Time range (MET),"(448001663.853596,448001815.357596)"
2,Time range (Gregorian),"(2015-03-14 04:54:20,2015-03-14 04:56:52)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
