,0,1
0,Equatorial coordinates (degrees),"(173.137,27.6989)"
1,Time range (MET),"(388741599.420158,388741749.964158)"
2,Time range (Gregorian),"(2013-04-27 07:46:36,2013-04-27 07:49:06)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
