,0,1
0,Equatorial coordinates (degrees),"(74.8769,-60.9686)"
1,Time range (MET),"(453321278.352092,453321429.310092)"
2,Time range (Gregorian),"(2015-05-14 18:34:35,2015-05-14 18:37:06)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
