,0,1
0,Equatorial coordinates (degrees),"(353.401,-66.3239)"
1,Time range (MET),"(275631598.986532,275631753.306532)"
2,Time range (Gregorian),"(2009-09-26 04:19:56,2009-09-26 04:22:31)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
