,0,1
0,Equatorial coordinates (degrees),"(29.4104,16.8807)"
1,Time range (MET),"(281958569.95599,281958720.67799)"
2,Time range (Gregorian),"(2009-12-08 09:49:27,2009-12-08 09:51:58)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
