,0,1
0,Equatorial coordinates (degrees),"(308.598,6.91931)"
1,Time range (MET),"(488587190.275348,488587340.559348)"
2,Time range (Gregorian),"(2016-06-25 22:39:46,2016-06-25 22:42:16)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
