,0,1
0,Equatorial coordinates (degrees),"(10.5903,-1.65294)"
1,Time range (MET),"(410157889.083216,410158062.123216)"
2,Time range (Gregorian),"(2013-12-31 04:44:46,2013-12-31 04:47:39)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
