,0,1
0,Equatorial coordinates (degrees),"(156.502,9.66223)"
1,Time range (MET),"(405636088.758662,405636238.886662)"
2,Time range (Gregorian),"(2013-11-08 20:41:25,2013-11-08 20:43:55)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
