,0,1
0,Equatorial coordinates (degrees),"(322.602,-0.23202)"
1,Time range (MET),"(436186459.783232,436186623.031232)"
2,Time range (Gregorian),"(2014-10-28 10:54:16,2014-10-28 10:57:00)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
