,0,1
0,Equatorial coordinates (degrees),"(170.884,8.92819)"
1,Time range (MET),"(362269406.93393,362269565.24793)"
2,Time range (Gregorian),"(2012-06-24 22:23:24,2012-06-24 22:26:03)"
3,Energy range (MeV),"(100,500000)"
4,Search radius (degrees),15
